# s8 = 0.8195 
#  k, 0.95*s8, 0.97*s8, 1.*s8, 1.03*s8, 1.05*s8
7.450900000000000101e-04 3.924300487490033333e+02 4.091273494381576370e+02 4.348255387800591620e+02 4.613064140917647364e+02 4.793951565050151657e+02
7.684599999999999981e-04 4.040096752795791986e+02 4.211996714355191784e+02 4.476561498942705271e+02 4.749184094228315871e+02 4.935409052584332130e+02
7.925700000000000366e-04 4.159146399124707614e+02 4.336111741757826508e+02 4.608472464404107996e+02 4.889128437486318717e+02 5.080840892005529668e+02
8.174299999999999579e-04 4.281449426476782492e+02 4.463618576589479403e+02 4.743988284184800932e+02 5.032897170691654765e+02 5.230247083313744270e+02
8.430799999999999579e-04 4.407367321632368089e+02 4.594894086342265496e+02 4.883509497653593030e+02 5.180915226060697023e+02 5.384069221163086922e+02
8.695200000000000368e-04 4.536659093404560963e+02 4.729687026021443330e+02 5.026769078564611846e+02 5.332899315449196820e+02 5.542012909117485151e+02
8.968000000000000060e-04 4.669565732980265125e+02 4.868248640621752088e+02 5.174034053163728686e+02 5.489132727001399417e+02 5.704372543613010293e+02
9.249300000000000230e-04 4.806207735952927464e+02 5.010704552640565339e+02 5.325437934573881194e+02 5.649757104789430286e+02 5.871295322867705408e+02
9.539400000000000180e-04 4.946585102322550824e+02 5.157054762077882515e+02 5.480980722795069369e+02 5.814772448813290566e+02 6.042781246881565949e+02
9.838699999999999703e-04 5.090818327682583799e+02 5.307424891431074911e+02 5.640795930950231423e+02 5.984320403145101182e+02 6.218977513872630425e+02
1.014700000000000107e-03 5.239027907626476690e+02 5.461940563197510983e+02 5.805017072162303293e+02 6.158542611856986468e+02 6.400031322058937349e+02
1.046599999999999961e-03 5.391213842154232907e+02 5.620601777377194139e+02 5.973644146431283843e+02 6.337439074948948701e+02 6.585942671440491267e+02
1.079400000000000108e-03 5.547617122452750209e+02 5.783659778964866973e+02 6.146944180003046085e+02 6.521293080565232003e+02 6.777005958453360108e+02
1.113300000000000010e-03 5.708117252928576590e+02 5.950988945463154778e+02 6.324783659754654082e+02 6.709962984633713177e+02 6.973073984879506497e+02
1.148200000000000045e-03 5.872955224768613789e+02 6.122840521866802419e+02 6.507429611931983118e+02 6.903732075298639757e+02 7.174441147155010867e+02
1.184200000000000053e-03 6.042251533566314947e+02 6.299340130673178919e+02 6.695015549657965721e+02 7.102741996632133805e+02 7.381254643497907182e+02
1.221300000000000033e-03 6.216006179321675518e+02 6.480487771882287689e+02 6.887541472932604165e+02 7.306992748634199870e+02 7.593514473908196578e+02
1.259600000000000043e-03 6.394339657628152054e+02 6.666409067991497750e+02 7.085140894878836662e+02 7.516625975376957740e+02 7.811367836603918704e+02
